feature_name,source_type,feature_family,selected_final_input,pearson_to_pressure,spearman_to_pressure,within_bike_mean_abs_spearman,within_bike_mean_signed_spearman,abs_pearson_to_pressure,abs_spearman_to_pressure,abs_spearman_rank
acc_band_8_15_power_mean,acceleration_signal,band_8_15_power,True,0.1202156600164227,0.0827271950402044,0.2686187274838717,-0.10971750840890536,0.1202156600164227,0.0827271950402044,101
gyro_spectral_centroid_mean,gyro_signal,spectral_centroid,True,-0.03878590928200639,-0.07836791769676847,0.2260559009459343,0.2260559009459343,0.03878590928200639,0.07836791769676847,103
gyro_dom_freq_mean,gyro_signal,dom_freq,True,0.12157191739836316,0.061763731549777476,0.2401159523992383,0.2401159523992383,0.12157191739836316,0.061763731549777476,108
gyro_energy_per_s_mean,gyro_signal,energy_per_s,True,0.08798674356317787,0.060435435897634344,0.20430156738209967,0.06999220364016377,0.08798674356317787,0.060435435897634344,109
gyro_rms_mean,gyro_signal,rms,True,0.062403275717780024,0.05984098898716581,0.20430156738209967,0.06242547892230823,0.062403275717780024,0.05984098898716581,110
gyro_std_mean,gyro_signal,std,True,0.04608908250022901,0.05736412686021358,0.20240988620263578,0.08512565307587484,0.04608908250022901,0.05736412686021358,111
gyro_band_3_8_power_mean,gyro_signal,band_3_8_power,True,-0.046042919728602104,-0.032496431105613226,0.3187482787396647,0.0217543335638347,0.046042919728602104,0.032496431105613226,117
gyro_p95_abs_mean,gyro_signal,p95_abs,True,0.036467773005354295,0.01654543900804088,0.27051040866333564,0.047292029486597144,0.036467773005354295,0.01654543900804088,122
rider_weight_kg,rider_context,rider_weight,True,0.005476074720278854,0.010755175492958085,0.1025978352085154,0.034199278402838464,0.005476074720278854,0.010755175492958085,123
gyro_spectral_entropy_mean,gyro_signal,spectral_entropy,True,0.0762238647695273,-0.0062416925599196125,0.16835962497228585,0.16835962497228585,0.0762238647695273,0.0062416925599196125,125
acc_kurtosis_max,acceleration_signal,kurtosis,False,0.6137413821463832,0.664987943844134,0.44832843953294094,0.44832843953294094,0.6137413821463832,0.664987943844134,2
acc_skew_max,acceleration_signal,skew,False,0.5950584124611114,0.6569629105528088,0.3537443805597466,0.3537443805597466,0.5950584124611114,0.6569629105528088,3
acc_spectral_centroid_max,acceleration_signal,spectral_centroid,False,0.6079182404109424,0.6266461181189136,0.5183206431731047,0.5183206431731047,0.6079182404109424,0.6266461181189136,4
