model_name,stage,candidate_type,feature_config,feature_space,n_features_in,pca_components,hidden_layers,hidden_units,activation,alpha,aggregate_method,n_seeds,run_balanced_weights,cv_run_mae_bar,cv_run_rmse_bar,cv_run_bias_bar,cv_run_max_abs_error_bar,cv_run_error_std_bar,cv_group_mae_std_bar,cv_bike_mae_std_bar,cv_nearest_level_accuracy,cv_nearest_level_macro_f1,cv_n_runs,cv_n_windows,cv_selection_score,model_complexity,near_best_ffnn_cutoff,is_near_best_ffnn
ffnn_training_pool_stage1_s42_runcontext_compact_pca8_tanh_h8x4_a1_median,stage1,ffnn,runcontext_compact_pca8,runcontext_compact,51,8.0,"(8, 4)",12,tanh,1.0,median,1,True,0.3010495258184138,0.447469469099476,0.016141942886866344,1.8694085404360714,0.3310560508141712,0.06171247895528013,0.18414029489753525,0.5972222222222222,0.4893148274276859,72,873,0.44273246840751007,20.0,0.3995188023624144,False
ffnn_training_pool_stage1_s42_compact_weight_pca6_tanh_h4_a1_median,stage1,ffnn,compact_weight_pca6,compact_weight,28,6.0,"(4,)",4,tanh,1.0,median,1,True,0.33140803021921045,0.446383564470513,0.014088201137485367,1.3194810623727848,0.2990434820149463,0.03573409530622621,0.19761420040007918,0.5,0.3853611811980189,72,873,0.44450128275783635,10.0,0.3995188023624144,False
ffnn_training_pool_ensemble_ens3_compact_weight_pca6_tanh_h8_a1_median,ensemble,ffnn,compact_weight_pca6,compact_weight,28,6.0,"(8,)",8,tanh,1.0,median,3,True,0.3378380720679666,0.45391860808294815,0.007527603142981312,1.3526741168288705,0.3031625633638831,0.03300247621658582,0.21191193401381914,0.5,0.40975349657520205,72,873,0.4526064733185006,14.0,0.3995188023624144,False
ffnn_training_pool_ensemble_ens3_compact_weight_pca6_tanh_h4_a1_median,ensemble,ffnn,compact_weight_pca6,compact_weight,28,6.0,"(4,)",4,tanh,1.0,median,3,True,0.34135289013342884,0.46172977290005807,0.001420482310853794,1.2832071828870784,0.3109221567850937,0.0363391913999172,0.20704863106384183,0.4722222222222222,0.37475833960265986,72,873,0.45291845054087143,10.0,0.3995188023624144,False
ffnn_training_pool_stage1_s42_compact_interact_pca6_tanh_h8x4_a1_median,stage1,ffnn,compact_interact_pca6,compact_interact,99,6.0,"(8, 4)",12,tanh,1.0,median,1,True,0.3400321311852652,0.4459546239959067,0.028899223825017625,1.2959403838746058,0.2885371317957832,0.06187521496304571,0.18610622591002077,0.5277777777777778,0.3890814206819679,72,873,0.45417079160997925,18.0,0.3995188023624144,False
ffnn_training_pool_stage1_s42_compact_interact_pca6_tanh_h8_a0p1_median,stage1,ffnn,compact_interact_pca6,compact_interact,99,6.0,"(8,)",8,tanh,0.1,median,1,True,0.3509676526649717,0.4443559525877747,-0.004845700786686021,1.1498131729873373,0.27253241895787095,0.0523175816479771,0.19809997908065854,0.5,0.38015873015873014,72,873,0.454948004101224,14.0,0.3995188023624144,False
ffnn_training_pool_stage1_s42_compact_interact_pca6_tanh_h8_a1_median,stage1,ffnn,compact_interact_pca6,compact_interact,99,6.0,"(8,)",8,tanh,1.0,median,1,True,0.3533125232448002,0.443276119054777,0.009963041664514153,1.1916960436865889,0.26770128621778666,0.035281038338260455,0.1832987046625256,0.4444444444444444,0.30833333333333335,72,873,0.45927967265120656,14.0,0.3995188023624144,False
ffnn_training_pool_stage1_s42_compact_weight_pca6_tanh_h8_a0p1_median,stage1,ffnn,compact_weight_pca6,compact_weight,28,6.0,"(8,)",8,tanh,0.1,median,1,True,0.3471163865319805,0.4675420012352043,0.008991564659441391,1.2925398946003472,0.31321835374064605,0.033210143300495404,0.19903778076528345,0.5555555555555556,0.45835991493886236,72,873,0.4603930421504773,14.0,0.3995188023624144,False
ffnn_training_pool_stage1_s42_compact_weight_pca6_tanh_h8_a1_median,stage1,ffnn,compact_weight_pca6,compact_weight,28,6.0,"(8,)",8,tanh,1.0,median,1,True,0.34987008974386236,0.463678933317994,0.004276619034604495,1.3575370834945533,0.30428452722005833,0.02091964761417625,0.21276018444568276,0.5277777777777778,0.43196751568844594,72,873,0.46517008858227515,14.0,0.3995188023624144,False
ffnn_training_pool_stage1_s42_full_pca8_tanh_h8x4_a1_median,stage1,ffnn,full_pca8,full,132,8.0,"(8, 4)",12,tanh,1.0,median,1,True,0.33974194996395174,0.4605688529008752,0.0438751950093818,1.517956883257182,0.3109647499269325,0.06548651645887175,0.16528304673535146,0.6111111111111112,0.4969566774078052,72,873,0.4680487944116027,20.0,0.3995188023624144,False
ffnn_training_pool_stage1_s42_runcontext_compact_weight_pca8_tanh_h8x4_a1_median,stage1,ffnn,runcontext_compact_weight_pca8,runcontext_compact_weight,52,8.0,"(8, 4)",12,tanh,1.0,median,1,True,0.31802103628828915,0.4980223449642421,-0.01748892940387299,1.9479439511084746,0.3832608466329495,0.1043804221340396,0.17569878585494,0.7083333333333334,0.6385209507318665,72,873,0.4701007739445456,20.0,0.3995188023624144,False
