,acc_band_0p5_3_power_mean,acc_band_15_30_power_mean,acc_band_3_8_power_mean,acc_band_8_15_power_mean,acc_dom_freq_mean,acc_energy_per_s_mean,acc_p95_abs_mean,acc_ptp_mean,acc_rms_mean,acc_spectral_centroid_mean,acc_spectral_entropy_mean,acc_std_mean,gyro_band_0p5_3_power_mean,gyro_band_15_30_power_mean,gyro_band_3_8_power_mean,gyro_band_8_15_power_mean,gyro_dom_freq_mean,gyro_energy_per_s_mean,gyro_p95_abs_mean,gyro_ptp_mean,gyro_rms_mean,gyro_spectral_centroid_mean,gyro_spectral_entropy_mean,gyro_std_mean,bike_FAT,bike_ISY,bike_MTB,rider_weight_kg
acc_spectral_entropy_mean,-0.6160846356678886,0.9158788346517461,-0.3414045919351727,-0.09341436748343945,0.22107657756265847,0.4794198983857483,0.22007846163740433,0.5794263296675027,0.42790533153257443,0.9261367290500997,1.0,0.4389028233326902,-0.13869059103479323,0.36995948292494696,-0.30603254228567756,0.5793941732587304,0.17665286528961877,0.4988102128754261,0.3788668081548653,0.4904495465946363,0.42941668274487105,0.46353463245224774,0.3368383818895106,0.44674898707312366,-0.3459103887448459,-0.3586693784936312,0.704579767238477,-0.04799830668134375
acc_std_mean,-0.4471348639783909,0.3269663643964242,-0.5474950157566403,0.43401504919930545,0.3280344820818341,0.9868480288121423,0.9017621712007203,0.9498038459064891,0.9980063026561193,0.46745771432246447,0.4389028233326902,1.0,-0.11897871245739276,0.040452762235513536,-0.19692584732137114,0.5575921281111326,0.03303813129462336,0.7056080776898835,0.6270178146504598,0.7161553797671876,0.7457392758376744,0.3478358736896263,0.22631680493922438,0.730336356035758,-0.27644477789034816,0.26652111919684845,0.009923658693499678,-0.1873388454714265
gyro_band_0p5_3_power_mean,-0.0201942247089845,-0.1302977683452312,0.08277059617981863,0.029423114026625508,0.18721683499297093,-0.10093896713615023,-0.1307158016592707,-0.13119814779085473,-0.11698501511351213,-0.12135828670654061,-0.13869059103479323,-0.11897871245739276,1.0,-0.2704675541835488,-0.41478551675348896,-0.4367805003537205,-0.5514029578440623,-0.04858833365489742,-0.007299504791304907,-0.11341565373979035,-0.025821596244131457,-0.5472377644864621,-0.5496494951443823,-0.022638111775676893,0.08505993165856866,0.0070883276382140556,-0.09214825929678272,0.03364729781500259
gyro_band_15_30_power_mean,-0.06633867129718952,0.39102193067078267,0.0828992218149077,-0.43276094925718694,-0.2855720967827188,0.05958582545501318,-0.15132805968229468,0.15010611614894848,0.04337899543378995,0.2531995626728407,0.36995948292494696,0.040452762235513536,-0.2704675541835488,1.0,-0.3525628657791498,0.3457457071194289,0.2712613119486373,0.19133063219499646,-0.008489291915878834,0.2835230561450897,0.13923724998392178,0.8194739211524857,0.6756704611229017,0.17386970223165477,0.4791709483432701,-0.7641217193994752,0.28495077105620503,-0.02094471564276818
gyro_band_3_8_power_mean,0.18660364010547303,-0.3109203164190623,0.0730593607305936,0.1506849315068493,-0.09577932922104916,-0.23290886873753938,-0.058621133191845136,-0.28706026111003924,-0.20081677278281562,-0.2580873368062255,-0.30603254228567756,-0.19692584732137114,-0.41478551675348896,-0.3525628657791498,1.0,-0.2367676377902116,0.3786969076419048,-0.24377773490256607,-0.05887838446202328,-0.2708855874975883,-0.2191137693742363,-0.24017621712007203,-0.11978262267669947,-0.2336163097305293,0.009923658693499678,0.2806977744732766,-0.29062143316677624,-0.07417920123480398
gyro_band_8_15_power_mean,-0.45134735352755806,0.5089716380474628,-0.26786288507299505,0.10135700045018972,0.1736243354637997,0.5585246639655284,0.4066499453341051,0.6158273843977105,0.553090230883015,0.5588783844620233,0.5793941732587304,0.5575921281111326,-0.4367805003537205,0.3457457071194289,-0.2367676377902116,1.0,0.16047092343102773,0.5892661907518169,0.386262782172487,0.6384011833558428,0.5485561772461252,0.6516496237700173,0.6612965464016979,0.5624799022445174,-0.3388220611066318,-0.12191923537728175,0.4607412964839136,-0.025017299239973107
gyro_dom_freq_mean,0.13359969071056255,0.14251291478307915,-0.15844818069870387,-0.04543770869439738,-0.24502783997984082,0.048003138501247176,0.03953393112606996,0.05415359201254093,0.03897479898867962,0.10973790449428654,0.17665286528961877,0.03303813129462336,-0.5514029578440623,0.2712613119486373,0.3786969076419048,0.16047092343102773,1.0,-0.03542266540996451,0.04255982269312357,0.008929669135381027,-0.04803602862697602,0.36111713543983787,0.3094138577940958,-0.06160320549012399,0.0804756985320949,-0.1573263655987801,0.07685066706668521,0.03515887334238319
gyro_energy_per_s_mean,-0.5022509486140588,0.4086436426779857,-0.27577336163097305,0.2900829635346325,0.2662121004330649,0.6838060325422857,0.5535404206058268,0.7604990674641456,0.6959611550582031,0.47591484982957105,0.4988102128754261,0.7056080776898835,-0.04858833365489742,0.19133063219499646,-0.24377773490256607,0.5892661907518169,-0.03542266540996451,1.0,0.8833365489742105,0.910958904109589,0.9833108238471927,0.39520226381117757,0.28680300983986107,0.98369670075246,-0.06663027979921211,-0.11766623879435331,0.18429651859356544,-0.08814234499664944
gyro_p95_abs_mean,-0.44420863078011447,0.2790533153257444,-0.21088172872853558,0.37622998263553925,0.315981061760376,0.592642613672905,0.5364653675477523,0.6329024374557849,0.6164061997556113,0.3364203485754711,0.3788668081548653,0.6270178146504598,-0.007299504791304907,-0.008489291915878834,-0.05887838446202328,0.386262782172487,0.04255982269312357,0.8833365489742105,1.0,0.7718824361695286,0.8822753874847257,0.20361438034600296,0.08724033699916393,0.8745578493793813,-0.0255179794975706,0.002835331055285622,0.022682648442284976,-0.10171762365399918
gyro_ptp_mean,-0.49803845906489164,0.41886938066756707,-0.28210817415910994,0.24155894269727957,0.2832229758867357,0.700977554826677,0.5721268248761978,0.7452890861148627,0.7144189336934851,0.5023152614316033,0.4904495465946363,0.7161553797671876,-0.11341565373979035,0.2835230561450897,-0.2708855874975883,0.6384011833558428,0.008929669135381027,0.910958904109589,0.7718824361695286,1.0,0.9021480481059875,0.5001286256350891,0.42526850601324845,0.9107016528394108,-0.06663027979921211,-0.1403488872366383,0.20697916703585043,-0.09909953419865317
gyro_rms_mean,-0.4550453405363689,0.31860569811563444,-0.3085085857611422,0.37381825197761914,0.2901407319045618,0.7172165412566724,0.6037044182905653,0.7791497845520612,0.7384076146375973,0.4151713936587562,0.42941668274487105,0.7457392758376744,-0.025821596244131457,0.13923724998392178,-0.2191137693742363,0.5485561772461252,-0.04803602862697602,0.9833108238471927,0.8822753874847257,0.9021480481059875,1.0,0.36487877033892857,0.2582802752588591,0.991607177310438,-0.05528895557806963,-0.032606307135784655,0.08789526271385428,-0.07020358391372299
gyro_spectral_centroid_mean,-0.18689304778442345,0.41356357322014276,-0.10524792591163419,-0.14669753681908804,-0.12620449503247175,0.34224065856325164,0.16965721268248762,0.42269599331146696,0.3469676506527751,0.3692841983407293,0.46353463245224774,0.3478358736896263,-0.5472377644864621,0.8194739211524857,-0.24017621712007203,0.6516496237700173,0.36111713543983787,0.39520226381117757,0.20361438034600296,0.5001286256350891,0.36487877033892857,1.0,0.821660556949,0.38761335134092223,0.2183204912569929,-0.48058861387091295,0.26226812261392,-0.01502977279920865
gyro_spectral_entropy_mean,-0.12251591742234227,0.29609621197504665,-0.0031834844684545628,-0.14631165991382084,-0.12254310660149118,0.23445237635860827,0.1316161811048942,0.2858061611679208,0.2237442922374429,0.2631037365746993,0.3368383818895106,0.22631680493922438,-0.5496494951443823,0.6756704611229017,-0.11978262267669947,0.6612965464016979,0.3094138577940958,0.28680300983986107,0.08724033699916393,0.42526850601324845,0.2582802752588591,0.821660556949,1.0,0.2931699787767702,0.0907305937691399,-0.3813520269359162,0.29062143316677624,0.01987808660540499
gyro_std_mean,-0.4788089266190752,0.33998970994919286,-0.2812399511222587,0.35426715544408,0.3032796080883018,0.70158852659335,0.5879477779921538,0.7687311081098462,0.7226188179304135,0.43105665959225675,0.44674898707312366,0.730336356035758,-0.022638111775676893,0.17386970223165477,-0.2336163097305293,0.5624799022445174,-0.06160320549012399,0.98369670075246,0.8745578493793813,0.9107016528394108,0.991607177310438,0.38761335134092223,0.2931699787767702,1.0,-0.04961829346749839,-0.058124286633355254,0.10774258010085364,-0.059634259816214966
bike_FAT,0.24667380180984913,-0.3685930371871309,0.3742636992977021,-0.13751355618135266,-0.31712214780124287,-0.31472174713670403,-0.29770976080499034,-0.28495077105620503,-0.2721917813074197,-0.48058861387091295,-0.3459103887448459,-0.27644477789034816,0.08505993165856866,0.4791709483432701,0.009923658693499678,-0.3388220611066318,0.0804756985320949,-0.06663027979921211,-0.0255179794975706,-0.06663027979921211,-0.05528895557806963,0.2183204912569929,0.0907305937691399,-0.04961829346749839,1.0,-0.5,-0.5,0.0
bike_ISY,0.032606307135784655,-0.41821133065462923,-0.2537621294480632,0.6081785113587659,0.3221218213026138,0.23249714653342102,0.4522353033180567,0.11624857326671051,0.2721917813074197,-0.22966181547813538,-0.3586693784936312,0.26652111919684845,0.0070883276382140556,-0.7641217193994752,0.2806977744732766,-0.12191923537728175,-0.1573263655987801,-0.11766623879435331,0.002835331055285622,-0.1403488872366383,-0.032606307135784655,-0.48058861387091295,-0.3813520269359162,-0.058124286633355254,-0.5,1.0,-0.5,0.0
bike_MTB,-0.27928010894563376,0.7868043678417601,-0.12050156984963893,-0.47066495517741325,-0.004999673501370946,0.08222460060328304,-0.1545255425130664,0.16870219778949452,0.0,0.7102504293490484,0.704579767238477,0.009923658693499678,-0.09214825929678272,0.28495077105620503,-0.29062143316677624,0.4607412964839136,0.07685066706668521,0.18429651859356544,0.022682648442284976,0.20697916703585043,0.08789526271385428,0.26226812261392,0.29062143316677624,0.10774258010085364,-0.5,-0.5,1.0,0.0
